adName,adDescription,adContent,adViews,adID,companyID
vehicula consequat,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",89165,13,23
ullamcorper augue,Nulla tellus. In sagittis dui vel nisl.,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,13119,14,33
in tempus sit,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",86079,15,48
quis orci,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Phasellus sit amet erat.,97827,16,43
quam a odio,Aenean sit amet justo.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",40811,17,44
ligula pellentesque ultrices,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Nulla tempus.,51290,18,17
in hac habitasse,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",8831,19,39
eu magna,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Aliquam erat volutpat.,20765,20,42
massa id,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,Maecenas rhoncus aliquam lacus.,82457,21,13
nunc donec,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,Aenean lectus.,26722,22,5
libero convallis eget,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Pellentesque ultrices mattis odio. Donec vitae nisi.,40056,23,4
fusce,Morbi ut odio.,In congue. Etiam justo. Etiam pretium iaculis justo.,13669,24,50
lacus morbi,Aliquam quis turpis eget elit sodales scelerisque.,Etiam faucibus cursus urna. Ut tellus.,82888,25,2
justo,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",32946,26,14
neque aenean auctor,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Etiam vel augue.,28952,27,49
montes nascetur,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,15520,28,45
dis,Morbi non lectus.,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1664,29,26
lectus,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",56221,30,30
at,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Nullam sit amet turpis elementum ligula vehicula consequat.,62147,31,38
curae,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Donec quis orci eget orci vehicula condimentum.,6045,32,35
donec,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,12056,33,15
rutrum,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",88619,34,20
dapibus duis at,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",72854,35,18
est,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,77423,36,24
turpis eget,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,75287,37,10
nunc proin,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",68961,38,1
consequat ut,Proin at turpis a pede posuere nonummy.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",82117,39,28
augue,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",7980,40,25
vestibulum,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,64110,41,21
euismod scelerisque quam,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",17824,42,6
vitae nisl aenean,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",20317,43,46
turpis,Nam nulla.,Integer ac leo.,55450,44,47
sed,Morbi porttitor lorem id ligula.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",16108,45,19
ligula vehicula,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",34193,46,12
libero,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",92682,47,29
sem,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,82886,48,40
venenatis turpis enim,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",18634,49,27
pretium,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Praesent blandit. Nam nulla.,14521,50,22
